PharmGKB Accession Id	Name	Alternate Names	Cross-references	External Vocabulary
PA446220	Abdominal Pain	"""AP - Abdominal pain"", ""Abdominal Pains"", ""Abdominal pain"", ""Pain, Abdominal"", ""Pains, Abdominal"", ""[D]Abdominal pain"""		MeSH:D015746(Abdominal Pain), SnoMedCT:207205003([D]Abdominal pain), SnoMedCT:21522001(Abdominal pain), UMLS:C0000737(C0000737), MedDRA:10000039(Abd. pain), NDFRT:N0000003309(Abdominal Pain [Disease/Finding]), HP:HP:0002027(Abdominal pain)
PA443224	Abnormalities, Drug-Induced	"""Abnormalities, Drug Induced"", ""Abnormality, Drug-Induced"", ""Drug Induced Abnormalities"", ""Drug-Induced Abnormalities"", ""Drug-Induced Abnormality"""		"""MeSH:D000014(Abnormalities, Drug-Induced)"", ""UMLS:C0000771(Abnormalities, Drug-Induced [Disease/Finding])"", ""NDFRT:N0000000265(Abnormalities, Drug-Induced [Disease/Finding])"", ""MONDO:MONDO:0016677(toxic or drug-related embryofetopathy)"""
PA444117	Abnormality of the eye	"""Abnormalities, Eye"", ""Abnormality, Eye"", ""Congenital abnormality of eye"", ""Congenital anolmaly of eye"", ""Congenital anomaly of eye"", ""Congenital anomaly of eye, NOS"", ""Congenital anomaly of the globe"", ""Congenital deformity of eye"", ""Congenital deformity of eye, NOS"", ""Congenital eye anomalies"", ""Congenital eye anomalies NOS"", ""Eye Abnormality"""		MeSH:D005124(Eye Abnormalities), SnoMedCT:19416009(Congenital anomaly of eye), SnoMedCT:204222005(Congenital eye anomalies NOS), UMLS:C0015393(C0015393), MedDRA:10010343(Congenital anomalies of eye), NDFRT:N0000001179(Eye Abnormalities [Disease/Finding]), HP:HP:0000478(Abnormality of the eye)
PA443227	Abortion, Spontaneous	"""Abortion, Tubal"", ""Abortions, Spontaneous"", ""Abortions, Tubal"", ""Miscarriage"", ""Miscarriage, NOS"", ""Miscarriages"", ""Spontaneous Abortion"", ""Spontaneous Abortions"", ""Spontaneous abortion NOS"", ""Spontaneous abortion unspecified"", ""Tubal Abortion"", ""Tubal Abortions"", ""Unspecified spontaneous abortion NOS"""		"""MeSH:D000022(Abortion, Spontaneous)"", ""SnoMedCT:17369002(Spontaneous abortion)"", ""SnoMedCT:198631006(Spontaneous abortion unspecified)"", ""SnoMedCT:198643007(Unspecified spontaneous abortion NOS)"", ""SnoMedCT:198689000(Spontaneous abortion NOS)"", ""UMLS:C0000786(C0000786)"", ""MedDRA:10000234(Abortion spontaneous)"", ""NDFRT:N0000000268(Abortion, Spontaneous [Disease/Finding])"", ""cpgxTags:pgkbTags:1452102240(Maternal Health)"", ""HP:HP:0005268(Miscarriage)"""
PA443235	Abscess	Abscess NOS, Abscess morphology, Abscesses, Acute abscess		MeSH:D000038(Abscess), SnoMedCT:128477000(Abscess), SnoMedCT:200694004(Abscess NOS), SnoMedCT:44132006(Abscess morphology), UMLS:C0000833(C0000833), MedDRA:10000269(Abscess), NDFRT:N0000000276(Abscess [Disease/Finding]), MONDO:MONDO:0005227(abscess), HP:HP:0025615(Abscess)
PA152408019	ACAD9 Deficiency	acyl-CoA dehydrogenase 9 deficiency		MedDRA:10081518(ACAD9 deficiency.), MONDO:MONDO:0012624(acyl-CoA dehydrogenase 9 deficiency)
PA165108199	Acanthamoeba keratitis			MONDO:MONDO:0005629(Acanthamoeba keratitis)
PA166048806	Acid-Base Imbalance			NDFRT:N0000000282(Acid-Base Imbalance), HP:HP:0004360(Abnormality of acid-base homeostasis)
PA443242	Acidosis	"""Acidaemia NOS"", ""Acidoses"", ""Acidosis, NOS"""		MeSH:D000138(Acidosis), SnoMedCT:190887001(Acidosis NOS), SnoMedCT:51387008(Acidosis), UMLS:C0001122(C0001122), MedDRA:10000486(Acidosis), NDFRT:N0000000283(Acidosis [Disease/Finding]), HP:HP:0001941(Acidosis)
PA443244	Acidosis, Renal Tubular	"""Acidoses, Renal Tubular"", ""Acidosis, Renal Tubular, Type I"", ""Acidosis, Renal Tubular, Type II"", ""Classic Distal Renal Tubular Acidosis"", ""Distal Renal Tubular Acidosis"", ""Proximal Renal Tubular Acidosis"", ""RTA"", ""RTA - Renal tubular acidosis"", ""RTA, NOS"", ""Renal Tubular Acidoses"", ""Renal Tubular Acidosis"", ""Renal tubular acidosis, NOS"", ""Renotubular acidaemia"", ""Renotubular acidemia"", ""Tubular Acidoses, Renal"", ""Tubular Acidosis, Renal"", ""Type I Renal Tubular Acidosis"", ""Type II Renal Tubular Acidosis"""		"""MeSH:D000141(Acidosis, Renal Tubular)"", ""SnoMedCT:1776003(Renal tubular acidosis)"", ""UMLS:C0001126(C0001126)"", ""MedDRA:10000494(Acidosis renal tubular)"", ""NDFRT:N0000000285(Acidosis, Renal Tubular [Disease/Finding])"", ""MONDO:MONDO:0001909(renal tubular acidosis)"", ""HP:HP:0001947(Renal tubular acidosis)"""
